"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 28 15:58:24 EDT 2025","Sat Jun 28 15:58:27 EDT 2025","3015","","LaunchPage2 feature","","Verify the homepage heading is visible","","Verify the homepage heading is visible",""
"passed","Sat Jun 28 15:58:17 EDT 2025","Sat Jun 28 15:58:24 EDT 2025","6274","","Home Page feature","","Validate the presence of App Name on the home page","","Validate the presence of App Name on the home page",""
